step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
168,105,0,70,8,113,0,1190.0,11.333333333333334,2.39688497247759
169,105,0,71,8,113,0,1261.0,12.00952380952381,2.3945303943368903
170,105,0,73,9,114,0,1333.0,12.695238095238095,2.1348352490792486
171,106,0,74,9,115,0,1406.0,13.264150943396226,2.045217920832814
172,106,0,76,9,115,0,1482.0,13.981132075471699,2.0081655329288877
173,107,0,78,9,116,0,1559.0,14.570093457943925,2.0285031742684625
174,108,0,79,9,117,0,1637.0,15.157407407407407,1.9198873639486251
175,108,0,78,9,117,0,1715.0,15.87962962962963,1.8524861979785525
176,109,0,80,9,118,0,1794.0,16.458715596330276,1.8293323265700547
177,110,0,79,9,119,0,1867.0,16.972727272727273,1.8713269256569727
178,110,0,81,9,119,0,1948.0,17.70909090909091,1.8775433935921766
179,111,0,82,9,120,0,2029.0,18.27927927927928,1.6250097973543105
180,112,0,37,9,121,0,759.0,6.776785714285714,2.3334335559679436
181,112,0,18,9,121,0,314.0,2.8035714285714284,3.3379219076062574
182,113,0,13,9,122,0,192.0,1.6991150442477876,4.548253366792859
183,112,1,10,10,122,0,164.0,1.4642857142857142,5.692423255957062
184,112,1,9,10,122,0,167.0,1.4910714285714286,6.723204626449656
185,114,0,11,10,124,0,176.0,1.543859649122807,7.35911172081348
186,115,0,12,10,125,0,187.0,1.626086956521739,7.906947546001435
187,115,0,11,10,125,0,198.0,1.7217391304347827,8.150911501158227
188,116,0,12,10,126,0,209.0,1.8017241379310345,7.96567830019127
189,117,0,15,10,127,0,223.0,1.9059829059829059,7.764995217249177
190,117,0,18,10,127,0,241.0,2.0598290598290596,7.578934756028596
191,118,0,21,10,128,0,261.0,2.211864406779661,7.23655992679679
192,119,0,23,10,129,0,283.0,2.3781512605042017,6.984108337672612
193,118,0,23,11,129,0,306.0,2.593220338983051,6.725777271101048
194,119,0,27,11,130,0,332.0,2.7899159663865545,6.524534180991268
195,119,0,31,12,131,0,362.0,3.042016806722689,6.1921237435955945
196,119,0,35,12,131,0,397.0,3.3361344537815127,6.067542963817979
197,119,0,40,13,132,0,436.0,3.6638655462184873,5.760568969571091
198,118,0,42,15,133,0,477.0,4.0423728813559325,5.511392529068019
199,118,0,44,15,133,0,521.0,4.415254237288136,5.316469870345863
200,118,1,45,15,133,0,566.0,4.796610169491525,5.139148223503795
201,119,1,48,15,134,0,553.0,4.647058823529412,4.879262218276034
202,120,0,48,15,135,0,593.0,4.941666666666666,4.629810941178685
203,120,0,50,16,136,0,642.0,5.35,4.649815692963897
204,121,0,53,16,137,0,694.0,5.735537190082645,4.829138963679097
205,120,0,55,17,137,0,749.0,6.241666666666666,4.8902947759926905
206,121,0,58,17,138,0,806.0,6.661157024793388,4.636798551741064
207,121,0,58,18,139,0,863.0,7.132231404958677,4.321562085397803
208,121,0,60,18,139,0,923.0,7.628099173553719,4.224547489673872
209,122,0,63,18,140,0,968.0,7.934426229508197,4.200664428651666
210,123,0,56,18,141,0,794.0,6.455284552845528,4.287986149610977
211,122,0,51,19,141,0,767.0,6.286885245901639,4.287294456856359
212,123,0,52,19,142,0,811.0,6.59349593495935,4.419755948972924
213,124,0,54,19,143,0,864.0,6.967741935483871,4.529588130770602
214,124,0,53,19,143,0,915.0,7.379032258064516,4.780996837889584
215,125,0,54,19,144,0,968.0,7.744,4.920197658551324
216,126,0,54,19,145,0,1021.0,8.103174603174603,5.007769589728167
217,126,0,53,19,145,0,1074.0,8.523809523809524,5.148687268102849
218,127,0,54,19,146,0,1127.0,8.874015748031496,5.071345684949276
219,128,0,54,19,147,0,1180.0,9.21875,5.059802150570803
220,128,0,55,19,147,0,1235.0,9.6484375,4.919648584703658
221,129,0,55,19,148,0,1246.0,9.65891472868217,4.546624507456542
222,130,0,57,19,149,0,1302.0,10.015384615384615,4.265442258010502
223,129,0,58,20,149,0,1360.0,10.542635658914728,4.073535024382684
224,129,0,60,21,150,0,1390.0,10.775193798449612,3.8272554800898466
225,129,0,37,22,151,0,684.0,5.3023255813953485,4.281049689801889
226,128,0,27,23,151,0,469.0,3.6640625,4.7856889751222536
227,128,1,28,23,151,0,478.0,3.734375,5.233516345290895
228,129,1,32,23,152,0,494.0,3.8294573643410854,5.56309777985979
229,129,1,30,23,152,0,518.0,4.015503875968992,5.660086980953806
230,130,0,27,24,154,0,325.0,2.5,5.646130642104019
231,131,0,28,24,155,0,305.0,2.3282442748091605,5.711068722099224
232,131,0,31,24,155,0,336.0,2.564885496183206,5.727578174684925
233,132,0,36,24,156,0,366.0,2.772727272727273,5.610522440362588
234,133,0,37,24,157,0,402.0,3.0225563909774436,5.532165197730629
235,133,0,41,24,157,0,443.0,3.330827067669173,5.4199778704859565
236,133,0,46,25,158,0,488.0,3.669172932330827,5.381129915580864
237,133,0,48,26,159,0,535.0,4.022556390977444,5.151429506176944
238,133,0,49,26,159,0,584.0,4.390977443609023,4.966323412356236
239,134,0,55,26,160,0,638.0,4.7611940298507465,4.625599590044335
240,133,0,53,28,161,0,503.0,3.781954887218045,4.236043375639371
241,132,0,56,29,161,0,521.0,3.946969696969697,4.001498326199
242,133,0,64,29,162,0,584.0,4.390977443609023,3.786523873195736
243,132,0,66,31,163,0,649.0,4.916666666666667,3.5836953715530604
244,132,0,69,31,163,0,718.0,5.4393939393939394,3.557674420255165
245,131,0,75,33,164,0,792.0,6.0458015267175576,3.345738425227263
246,132,0,78,33,165,0,869.0,6.583333333333333,3.2386789253453587
247,132,0,81,33,165,0,950.0,7.196969696969697,3.0514210633843746
248,133,0,83,33,166,0,1032.0,7.7593984962406015,2.8186187198150647
249,134,0,83,33,167,0,1114.0,8.313432835820896,2.599041287011304
250,134,0,87,33,167,0,1201.0,8.962686567164178,2.460199170033445
251,135,0,90,33,168,0,1290.0,9.555555555555555,2.3231134344162974
252,136,0,94,33,169,0,1383.0,10.169117647058824,2.2174645176223464
253,136,0,97,33,169,0,1480.0,10.882352941176471,2.125866340535257
254,137,0,100,33,170,0,1579.0,11.525547445255475,2.094366723376387
255,138,0,101,33,171,0,1679.0,12.166666666666666,2.017995855841753
256,138,0,103,33,171,0,1782.0,12.91304347826087,1.9337207352819503
257,139,0,105,33,172,0,1886.0,13.568345323741006,1.8525447497527632
258,140,0,108,33,173,0,1993.0,14.235714285714286,1.8214305433589182
259,140,0,108,33,173,0,2101.0,15.007142857142858,1.760536738876151
260,141,0,109,33,174,0,2209.0,15.666666666666666,1.7601439429692893
261,142,0,110,33,175,0,2318.0,16.323943661971832,1.7978449076655625
262,142,0,110,33,175,0,2428.0,17.098591549295776,1.8110771644629378
263,143,0,112,33,176,0,2539.0,17.755244755244757,1.8291065660286765
264,144,0,112,33,177,0,2650.0,18.40277777777778,1.8039768995091587
265,144,0,112,33,177,0,2762.0,19.180555555555557,1.7767368840391056
266,145,0,114,33,178,0,2875.0,19.82758620689655,1.7613517789282653
267,146,0,116,33,179,0,2990.0,20.47945205479452,1.7031205744069258
268,146,0,115,33,179,0,3105.0,21.267123287671232,1.6421455015749582
269,147,0,119,33,180,0,3223.0,21.92517006802721,1.4984867408707423
270,148,0,55,33,181,0,1346.0,9.094594594594595,2.27080662120524
271,148,0,32,33,181,0,814.0,5.5,3.3194409983692923
272,149,0,25,33,182,0,537.0,3.6040268456375837,4.396194069909532
273,149,0,21,34,183,0,421.0,2.825503355704698,5.463032830285348
274,148,0,16,35,183,0,351.0,2.3716216216216215,6.299913783787159
275,149,0,14,35,184,0,316.0,2.120805369127517,6.947085283135419
276,150,0,13,35,185,0,282.0,1.88,7.343771554771588
277,150,0,12,35,185,0,254.0,1.6933333333333334,7.6696249600513084
278,151,0,14,35,186,0,239.0,1.5827814569536425,7.72296347923865
279,152,0,15,35,187,0,253.0,1.6644736842105263,7.701672042545316
280,152,0,16,35,187,0,269.0,1.769736842105263,7.631537167056844
281,151,0,21,37,188,0,289.0,1.913907284768212,7.427359506236757
282,152,0,23,37,189,0,311.0,2.0460526315789473,7.3062814664062214
283,152,0,25,37,189,0,336.0,2.210526315789474,7.150450002925444
284,153,0,29,37,190,0,364.0,2.3790849673202614,6.972892690476735
285,152,0,33,39,191,0,384.0,2.526315789473684,6.643818759210027
286,152,0,36,39,191,0,420.0,2.763157894736842,6.455872445396473
287,153,0,41,39,192,0,460.0,3.0065359477124183,6.223587188419749
288,154,0,44,39,193,0,503.0,3.2662337662337664,5.992733149265692
289,153,0,48,40,193,0,551.0,3.6013071895424837,5.841713125388172
290,153,0,53,41,194,0,603.0,3.9411764705882355,5.413990218939162
291,154,0,57,41,195,0,652.0,4.233766233766234,5.158171703097474
292,154,0,59,41,195,0,711.0,4.616883116883117,4.937173793419697
293,154,0,68,42,196,0,778.0,5.0519480519480515,4.734469718544178
294,155,0,73,42,197,0,850.0,5.483870967741935,4.618212117624337
295,155,0,75,42,197,0,925.0,5.967741935483871,4.407390198871782
296,156,0,80,42,198,0,1004.0,6.435897435897436,4.205706151431032
297,157,0,80,42,199,0,1080.0,6.8789808917197455,4.116111474070639
298,154,0,81,45,199,0,1158.0,7.51948051948052,3.902324424857928
299,155,0,84,45,200,0,1225.0,7.903225806451613,3.8268529943190046
300,156,0,80,45,201,0,1158.0,7.423076923076923,3.8567521006199095
301,154,0,77,47,201,0,1160.0,7.532467532467533,3.8985538362876366
302,155,0,78,47,202,0,1214.0,7.832258064516129,3.9051828959995465
303,156,0,77,47,203,0,1281.0,8.211538461538462,4.007600118906787
304,156,0,77,47,203,0,1358.0,8.705128205128204,4.090429782465637
305,156,1,80,47,203,0,1438.0,9.217948717948717,4.154938998135843
306,157,1,82,47,204,0,1519.0,9.67515923566879,4.10741877175443
307,158,0,83,47,205,0,1601.0,10.132911392405063,4.075209368041633
308,159,0,85,47,206,0,1662.0,10.452830188679245,4.052391586822305
309,160,0,87,47,207,0,1725.0,10.78125,4.067548675695035
310,160,0,85,47,207,0,1790.0,11.1875,3.92859076904913
311,161,0,84,47,208,0,1796.0,11.15527950310559,3.7889877874306346
312,162,0,84,47,209,0,1838.0,11.345679012345679,3.649886980596944
313,162,0,86,47,209,0,1924.0,11.876543209876543,3.4410484773957375
314,163,0,91,47,210,0,1942.0,11.914110429447852,3.310450455122631
315,164,0,60,47,211,0,1002.0,6.109756097560975,3.67250615723765
316,164,0,45,47,211,0,734.0,4.475609756097561,4.0824141205087825
317,165,0,41,47,212,0,601.0,3.6424242424242426,4.6260552339477385
318,165,0,37,48,213,0,527.0,3.193939393939394,5.103499168863018
319,164,0,35,49,213,0,526.0,3.207317073170732,5.362847957093347
320,165,0,37,49,214,0,407.0,2.466666666666667,5.459663587955807
321,166,0,43,49,215,0,401.0,2.4156626506024095,5.671664645589757
322,166,0,45,49,215,0,410.0,2.4698795180722892,5.7265809283018045
323,166,0,47,50,216,0,414.0,2.4939759036144578,5.47443866763046
324,167,0,51,50,217,0,430.0,2.5748502994011977,5.327131328661086
325,167,0,51,50,217,0,449.0,2.688622754491018,5.122469144581809
326,168,0,59,50,218,0,470.0,2.7976190476190474,4.9596550676527436
327,168,0,64,51,219,0,499.0,2.9702380952380953,4.739283945832382
328,168,0,68,51,219,0,563.0,3.3511904761904763,4.607602901900322
329,168,0,73,52,220,0,632.0,3.761904761904762,4.466482047379221
330,167,0,73,54,221,0,588.0,3.5209580838323356,4.275002600103398
331,167,0,72,54,221,0,648.0,3.8802395209580838,4.107634904593777
332,168,0,76,54,222,0,723.0,4.303571428571429,3.8740496421326895
333,169,0,77,54,223,0,799.0,4.727810650887574,3.784496705440897
334,169,0,85,54,223,0,884.0,5.230769230769231,3.641685700495452
335,170,0,91,54,224,0,974.0,5.729411764705882,3.3069916263478665
336,171,0,97,54,225,0,1070.0,6.257309941520468,3.09628688657668
337,170,0,100,55,225,0,1170.0,6.882352941176471,2.8013050432350415
338,171,0,106,55,226,0,1275.0,7.456140350877193,2.629005822642458
339,172,0,111,55,227,0,1385.0,8.05232558139535,2.476955689281876
340,171,0,116,56,227,0,1501.0,8.777777777777779,2.253055915538623
341,172,0,120,56,228,0,1620.0,9.418604651162791,2.113324906798616
342,173,0,123,56,229,0,1742.0,10.06936416184971,2.016888161902247
343,173,0,125,56,229,0,1867.0,10.791907514450868,1.9261213354969038
344,173,1,127,56,229,0,1994.0,11.526011560693641,1.9000780866460125
345,174,1,131,56,230,0,2124.0,12.206896551724139,1.786025033382343
346,174,1,132,56,230,0,2256.0,12.96551724137931,1.7170504232014148
347,174,1,135,57,231,0,2390.0,13.735632183908047,1.6408422327258352
348,175,1,136,57,232,0,2525.0,14.428571428571429,1.5793006588094023
349,175,1,138,57,232,0,2663.0,15.217142857142857,1.5617168719739416
350,176,1,141,57,233,0,2803.0,15.926136363636363,1.5134458372749977
351,176,2,142,57,233,0,2945.0,16.732954545454547,1.4409102062249703
352,176,2,143,57,233,0,3088.0,17.545454545454547,1.4260992587549333
353,177,2,144,57,234,0,3231.0,18.25423728813559,1.3928453477863345
354,178,2,145,57,235,0,3375.0,18.96067415730337,1.3269165119097466
355,178,2,147,57,235,0,3522.0,19.786516853932586,1.2465031860612432
356,179,2,149,57,236,0,3670.0,20.502793296089386,1.1672787420919177
357,180,2,151,57,237,0,3820.0,21.22222222222222,1.1186345231781445
358,180,2,153,57,237,0,3973.0,22.072222222222223,1.122600731438825
359,181,2,154,57,238,0,4126.0,22.795580110497237,1.1068047071621145
360,182,2,86,57,239,0,2130.0,11.703296703296703,1.769107135622873
361,183,1,52,57,240,0,1202.0,6.5683060109289615,2.6324397328189493
362,184,1,38,57,241,0,796.0,4.326086956521739,3.6762822876059147
363,183,1,29,59,242,0,607.0,3.3169398907103824,4.818679261172606
364,182,1,26,60,242,0,524.0,2.879120879120879,5.809420638759258
365,182,0,27,62,244,0,481.0,2.642857142857143,6.486087133990438
366,183,0,23,62,245,0,450.0,2.459016393442623,7.066124919105777
367,182,0,21,63,245,0,429.0,2.357142857142857,7.515623001796552
368,182,0,22,64,246,0,431.0,2.368131868131868,7.632727510578062
369,182,1,21,64,246,0,448.0,2.4615384615384617,7.7683841930984086
370,182,0,23,65,247,0,470.0,2.5824175824175826,7.676901394689956
371,183,0,25,65,248,0,494.0,2.699453551912568,7.561028407774861
372,184,0,27,65,249,0,520.0,2.8260869565217392,7.364767598739048
373,184,0,32,65,249,0,552.0,3.0,7.23881313917836
374,184,1,35,65,249,0,587.0,3.1902173913043477,7.0847405106427015
375,183,1,39,67,250,0,625.0,3.4153005464480874,6.742999625279372
376,184,0,43,67,251,0,667.0,3.625,6.419272893790144
377,184,0,51,68,252,0,717.0,3.8967391304347827,6.063275985911866
378,185,0,56,68,253,0,772.0,4.172972972972973,5.822824035757517
379,185,0,64,68,253,0,836.0,4.518918918918919,5.53344723443114
380,185,0,68,69,254,0,903.0,4.881081081081081,5.298236692349288
381,184,0,71,71,255,0,921.0,5.005434782608695,5.029334231440446
